seed,amplitude,snr,method,solver,protocol,distance,lam,penalty,sample_size,max_iterations,shrink,device,backend,field_scale,field_terms,loss,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
3,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.70438,0.0681185,8.00337,0.00308768,4.23537,0.0428881,5.87492,0.00213631,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
3,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.98742,0.0938698,16.3393,0.00715361,4.29809,0.044227,11.8498,0.00503285,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
3,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.2836,0.0973573,16.3393,0.00715361,4.64875,0.0479077,11.8498,0.00503285,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
3,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,9.66786,0.101517,16.3393,0.00715361,5.26199,0.0540759,11.8498,0.00503285,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.3527,0.0236471,4.78204,0.00301097,1.46821,0.014526,3.64935,0.00229466,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.74975,0.0278555,4.78204,0.00301097,1.51896,0.0151869,3.64935,0.00229466,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.78746,0.0487972,4.78204,0.00301097,2.92076,0.0294109,3.64935,0.00229466,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.02933,0.0502177,9.53594,0.00774396,3.76805,0.0366044,7.282,0.00671299,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.12867,0.0518282,9.53594,0.00774396,3.28702,0.0324052,7.282,0.00671299,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,6.29225,0.0649281,9.53594,0.00774396,3.60537,0.0364861,7.282,0.00671299,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,11.0249,0.1107,18.9441,0.0310387,7.19356,0.0696131,14.4923,0.0302869,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,11.2699,0.113703,18.9441,0.0310387,6.93483,0.0677498,14.4923,0.0302869,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
4,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,11.5917,0.118385,18.9441,0.0310387,6.74468,0.0670876,14.4923,0.0302869,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.2,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.32363,0.0232023,3.59851,0.0129451,0.981758,0.00985594,2.63017,0.0134565,30,0.684,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.2,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,2.4517,0.0249457,3.59851,0.0129451,1.31897,0.0133387,2.63017,0.0134565,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.2,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.89945,0.049164,3.59851,0.0129451,3.3835,0.034097,2.63017,0.0134565,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.4,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.70321,0.0473537,7.25264,0.0289317,1.96273,0.0198433,5.28404,0.0299439,30,0.683,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.4,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,4.54514,0.0464013,7.25264,0.0289317,2.13549,0.0217352,5.28404,0.0299439,30,0.685,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.4,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,5.59395,0.0570414,7.25264,0.0289317,3.60755,0.0366336,5.28404,0.0299439,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.8,inf,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.45649,0.0856958,14.7383,0.0709379,3.68382,0.037571,10.6651,0.0724598,30,0.73,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.8,40,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.47403,0.0869326,14.7383,0.0709379,3.94265,0.0404772,10.6651,0.0724598,30,0.687,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
5,0.8,20,n3,normal,fixed30,75,1e-07,,,,4,cuda,torch,400,8,,8.67781,0.0901197,14.7383,0.0709379,4.7189,0.0485855,10.6651,0.0724598,30,0.689,0.937,2026-08-01T02:21:40,9124b27,2.13.0+cu130,gonzalo
