seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
2,0.2,40,normal,fixed30,200,0.0001,4,cpu,torch,400,8,2.03114,0.020131,3.87511,0.333167,1.68107,0.0166965,3.28263,0.235305,30,1.423,1.46,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,200,0.0001,4,cpu,torch,400,8,1.65893,0.0166497,3.96223,0.131841,1.13368,0.0113358,2.92538,0.0909469,30,1.531,1.46,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,200,0.0001,4,cpu,torch,400,8,1.79034,0.0179437,3.96223,0.131841,1.24022,0.0123912,2.92538,0.0909469,30,1.55,1.46,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,100,1e-07,4,cpu,torch,400,8,2.1797,0.0220749,3.9497,0.00435526,1.0009,0.0100759,2.80681,0.00370259,30,2.008,2.092,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,100,1e-07,4,cpu,torch,400,8,3.39592,0.0342934,3.9497,0.00435526,1.95034,0.0196658,2.80681,0.00370259,30,1.91,2.092,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,100,1e-07,4,cpu,torch,400,8,2.24257,0.0221915,3.87511,0.00434327,0.989565,0.0098742,3.28263,0.00343692,30,1.997,2.092,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,100,1e-07,4,cpu,torch,400,8,2.90802,0.0293096,3.87511,0.00434327,1.64502,0.0165784,3.28263,0.00343692,30,2.2,2.092,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,100,1e-07,4,cpu,torch,400,8,2.01224,0.0202126,3.96223,0.00226711,0.862214,0.00865415,2.92538,0.00171946,30,2.161,2.092,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,100,1e-07,4,cpu,torch,400,8,2.71559,0.0274805,3.96223,0.00226711,1.49654,0.0150908,2.92538,0.00171946,30,2.479,2.092,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,100,1e-06,4,cpu,torch,400,8,2.04359,0.0206687,3.9497,0.0133653,0.974619,0.00979121,2.80681,0.00975114,30,2.38,2.539,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,100,1e-06,4,cpu,torch,400,8,3.31102,0.0332923,3.9497,0.0133653,2.04814,0.0205504,2.80681,0.00975114,30,2.319,2.539,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,100,1e-06,4,cpu,torch,400,8,2.07564,0.0205854,3.87511,0.0129213,1.02668,0.0102289,3.28263,0.00931356,30,2.249,2.539,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,100,1e-06,4,cpu,torch,400,8,2.69332,0.0270909,3.87511,0.0129213,1.62518,0.0163326,3.28263,0.00931356,30,2.213,2.539,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,100,1e-06,4,cpu,torch,400,8,1.8173,0.0182902,3.96223,0.0063405,0.812941,0.0081462,2.92538,0.00466216,30,2.28,2.539,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,100,1e-06,4,cpu,torch,400,8,2.56736,0.0259226,3.96223,0.0063405,1.50261,0.0151012,2.92538,0.00466216,30,2.074,2.539,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,100,1e-05,4,cpu,torch,400,8,1.87323,0.0189392,3.9497,0.0470745,0.958496,0.00961865,2.80681,0.0349004,30,2.192,2.362,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,100,1e-05,4,cpu,torch,400,8,2.93151,0.0294231,3.9497,0.0470745,1.8807,0.0187954,2.80681,0.0349004,30,2.307,2.362,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,inf,normal,fixed30,100,1e-05,4,cpu,torch,400,8,1.7415,0.0173499,3.87511,0.0388202,1.03112,0.0102727,3.28263,0.0227207,30,2.367,2.362,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
2,0.2,40,normal,fixed30,100,1e-05,4,cpu,torch,400,8,2.23534,0.0224153,3.87511,0.0388202,1.48966,0.0149183,3.28263,0.0227207,30,2.198,2.362,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,inf,normal,fixed30,100,1e-05,4,cpu,torch,400,8,1.567,0.0158413,3.96223,0.0221668,0.784091,0.00786681,2.92538,0.0160358,30,2.394,2.362,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
3,0.2,40,normal,fixed30,100,1e-05,4,cpu,torch,400,8,2.28043,0.0229833,3.96223,0.0221668,1.39808,0.0140081,2.92538,0.0160358,30,2.421,2.362,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,inf,normal,fixed30,100,0.0001,4,cpu,torch,400,8,1.84017,0.0185647,3.9497,0.157818,1.07214,0.0107612,2.80681,0.0852217,30,2.43,2.357,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
1,0.2,40,normal,fixed30,100,0.0001,4,cpu,torch,400,8,2.18565,0.0220277,3.9497,0.157818,1.31194,0.0131536,2.80681,0.0852217,30,2.524,2.357,2026-08-01T01:33:36,9124b27,2.13.0+cu130,gonzalo
