seed,amplitude,snr,solver,protocol,distance,lam,shrink,device,backend,field_scale,field_terms,unexplained_pct,rms_log,planted_cv_pct,floor_pct,unexplained_brain_pct,rms_log_brain,planted_cv_brain_pct,floor_brain_pct,iterations,seconds,baseline_seconds,timestamp,git_commit,torch_version,host
3,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,8.98724,0.0938682,16.3393,0.00715361,4.29804,0.0442265,11.8498,0.00503285,30,2.458,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
3,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.28362,0.0973576,16.3393,0.00715361,4.64869,0.0479071,11.8498,0.00503285,30,2.598,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
3,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,9.66778,0.101516,16.3393,0.00715361,5.26195,0.0540755,11.8498,0.00503285,30,2.396,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.35264,0.0236463,4.78204,0.00301097,1.46827,0.0145266,3.64935,0.00229466,30,2.433,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.74964,0.0278543,4.78204,0.00301097,1.51905,0.0151878,3.64935,0.00229466,30,2.679,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.78715,0.0487939,4.78204,0.00301097,2.92064,0.0294097,3.64935,0.00229466,30,2.63,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.02934,0.0502179,9.53594,0.00774396,3.76807,0.0366046,7.282,0.00671299,30,2.467,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.4,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,5.1287,0.0518285,9.53594,0.00774396,3.28707,0.0324056,7.282,0.00671299,30,2.629,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.4,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,6.29116,0.0649179,9.53594,0.00774396,3.60535,0.0364858,7.282,0.00671299,30,2.535,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.8,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,11.025,0.110702,18.9441,0.0310387,7.1936,0.0696135,14.4923,0.0302869,30,2.618,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.8,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,11.2704,0.113708,18.9441,0.0310387,6.93444,0.0677465,14.4923,0.0302869,30,2.382,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
4,0.8,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,11.5922,0.118389,18.9441,0.0310387,6.74535,0.0670935,14.4923,0.0302869,30,2.585,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.2,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.32323,0.0231986,3.59851,0.0129451,0.981633,0.00985474,2.63017,0.0134565,30,2.905,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.2,40,normal,fixed30,75,1e-07,4,cpu,torch,400,8,2.45168,0.0249455,3.59851,0.0129451,1.31891,0.0133381,2.63017,0.0134565,30,2.641,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.2,20,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.89945,0.049164,3.59851,0.0129451,3.38355,0.0340975,2.63017,0.0134565,30,2.661,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
5,0.4,inf,normal,fixed30,75,1e-07,4,cpu,torch,400,8,4.70306,0.0473525,7.25264,0.0289317,1.96265,0.0198426,5.28404,0.0299439,30,2.759,2.22,2026-08-01T01:51:24,9124b27,2.13.0+cu130,gonzalo
